cellid,layer,cell_type,cell_subtype
5144808371,L5,neuron,bipolar
5159278839,L5,neuron,bipolar
5159803735,L5,neuron,bipolar
5159993420,L5,neuron,bipolar
5172755723,L5,neuron,bipolar
5187808756,L5,neuron,bipolar
5202803880,L5,neuron,bipolar
5217039516,L5,neuron,bipolar
5218018257,L5,neuron,bipolar
5230662252,L5,neuron,bipolar
5232282961,L5,neuron,bipolar
5233248295,L5,neuron,bipolar
5247205432,L5,neuron,bipolar
5262799563,L5,neuron,bipolar
5275721242,L5,neuron,bipolar
5289607123,L5,neuron,bipolar
5290628570,L5,neuron,bipolar
5290978976,L5,neuron,bipolar
5303667395,L5,neuron,bipolar
5304821127,L5,neuron,bipolar
5319189326,L5,neuron,bipolar
5320400202,L5,neuron,bipolar
5320488582,L5,neuron,bipolar
5332971480,L5,neuron,bipolar
5365955112,L5,neuron,bipolar
5392251910,L5,neuron,bipolar
5405349641,L5,neuron,bipolar
5405976475,L5,neuron,bipolar
5406736063,L5,neuron,bipolar
5407494994,L5,neuron,bipolar
5408401469,L5,neuron,bipolar
5420709385,L5,neuron,bipolar
5420840295,L5,neuron,bipolar
5421148001,L5,neuron,bipolar
5421336745,L5,neuron,bipolar
5434595610,L5,neuron,bipolar
5436507845,L5,neuron,bipolar
5464747312,L5,neuron,bipolar
5478616461,L5,neuron,bipolar
5539020957,L5,neuron,bipolar
5567638733,L5,neuron,bipolar
5567711747,L5,neuron,bipolar
5581378299,L5,neuron,bipolar
5581510029,L5,neuron,bipolar
5595586017,L5,neuron,bipolar
5597089594,L5,neuron,bipolar
5610302956,L5,neuron,bipolar
5624219241,L5,neuron,bipolar
5641930003,L5,neuron,bipolar
5697237210,L5,neuron,bipolar
5698348019,L5,neuron,bipolar
5698624297,L5,neuron,bipolar
5727870456,L5,neuron,bipolar
5756210897,L5,neuron,bipolar
5757365776,L5,neuron,bipolar
5770826833,L5,neuron,bipolar
5772886684,L5,neuron,bipolar
5784625240,L5,neuron,bipolar
5785530020,L5,neuron,bipolar
5814702337,L5,neuron,bipolar
5830048645,L5,neuron,bipolar
5843802036,L5,neuron,bipolar
5844196696,L5,neuron,bipolar
5844330471,L5,neuron,bipolar
5872566163,L5,neuron,bipolar
5902557309,L5,neuron,bipolar
5902646056,L5,neuron,bipolar
5916077620,L5,neuron,bipolar
5917697904,L5,neuron,bipolar
5930663917,L5,neuron,bipolar
5931028416,L5,neuron,bipolar
5960391297,L5,neuron,bipolar
5976525158,L5,neuron,bipolar
5977227354,L5,neuron,bipolar
6006019472,L5,neuron,bipolar
6018446166,L5,neuron,bipolar
6019146684,L5,neuron,bipolar
6032010176,L5,neuron,bipolar
6032914189,L5,neuron,bipolar
6048040825,L5,neuron,bipolar
6063256489,L5,neuron,bipolar
6077169830,L5,neuron,bipolar
6105700421,L5,neuron,bipolar
6106284240,L5,neuron,bipolar
6107116586,L5,neuron,bipolar
6120257502,L5,neuron,bipolar
6120520194,L5,neuron,bipolar
6135078507,L5,neuron,bipolar
6136362338,L5,neuron,bipolar
6149094594,L5,neuron,bipolar
6149503191,L5,neuron,bipolar
6149679443,L5,neuron,bipolar
6150468346,L5,neuron,bipolar
6163286531,L5,neuron,bipolar
6164527615,L5,neuron,bipolar
6179202111,L5,neuron,bipolar
6195014585,L5,neuron,bipolar
6207279690,L5,neuron,bipolar
6207354122,L5,neuron,bipolar
6223136057,L5,neuron,bipolar
6237211519,L5,neuron,bipolar
6237708396,L5,neuron,bipolar
6237926854,L5,neuron,bipolar
6267013511,L5,neuron,bipolar
6280474821,L5,neuron,bipolar
6280620168,L5,neuron,bipolar
6280839194,L5,neuron,bipolar
6294316445,L5,neuron,bipolar
6296506059,L5,neuron,bipolar
6310129749,L5,neuron,bipolar
6323371913,L5,neuron,bipolar
6338455942,L5,neuron,bipolar
6338659654,L5,neuron,bipolar
6353011915,L5,neuron,bipolar
6354268105,L5,neuron,bipolar
6368722617,L5,neuron,bipolar
6383192231,L5,neuron,bipolar
6397866542,L5,neuron,bipolar
6440559972,L5,neuron,bipolar
6441639991,L5,neuron,bipolar
6441829812,L5,neuron,bipolar
6442705868,L5,neuron,bipolar
6454751678,L5,neuron,bipolar
6455423377,L5,neuron,bipolar
6456022246,L5,neuron,bipolar
6497926869,L5,neuron,bipolar
6498058438,L5,neuron,bipolar
6498277275,L5,neuron,bipolar
6528954156,L5,neuron,bipolar
6544563396,L5,neuron,bipolar
6559981572,L5,neuron,bipolar
6632226962,L5,neuron,bipolar
6644185383,L5,neuron,bipolar
6644856731,L5,neuron,bipolar
6672760127,L5,neuron,bipolar
6673328708,L5,neuron,bipolar
6674146320,L5,neuron,bipolar
6674321549,L5,neuron,bipolar
6704064950,L5,neuron,bipolar
6761577291,L5,neuron,bipolar
6789800954,L5,neuron,bipolar
6804899404,L5,neuron,bipolar
6805263368,L5,neuron,bipolar
6806139363,L5,neuron,bipolar
6819484674,L5,neuron,bipolar
6820112520,L5,neuron,bipolar
6833808250,L5,neuron,bipolar
6833911543,L5,neuron,bipolar
6834085661,L5,neuron,bipolar
6863419127,L5,neuron,bipolar
6907340254,L5,neuron,bipolar
6921633306,L5,neuron,bipolar
6936248872,L5,neuron,bipolar
6937754510,L5,neuron,bipolar
6950953079,L5,neuron,bipolar
6951229597,L5,neuron,bipolar
6965525562,L5,neuron,bipolar
6966283160,L5,neuron,bipolar
7008758971,L5,neuron,bipolar
7052458423,L5,neuron,bipolar
7052487499,L5,neuron,bipolar
7052721069,L5,neuron,bipolar
7081689438,L5,neuron,bipolar
7110395103,L5,neuron,bipolar
7154811259,L5,neuron,bipolar
7182801373,L5,neuron,bipolar
7300223993,L5,neuron,bipolar
7344742514,L5,neuron,bipolar
7401845559,L5,neuron,bipolar
21940807057,L5,neuron,bipolar
25249714113,L5,neuron,bipolar
29875896864,L5,neuron,bipolar
29919437456,L5,neuron,bipolar
30021410426,L5,neuron,bipolar
30151826172,L5,neuron,bipolar
30210610362,L5,neuron,bipolar
30225445097,L5,neuron,bipolar
30240089916,L5,neuron,bipolar
30398946901,L5,neuron,bipolar
30443656692,L5,neuron,bipolar
30486890533,L5,neuron,bipolar
30544331473,L5,neuron,bipolar
30573795542,L5,neuron,bipolar
30587943683,L5,neuron,bipolar
30588017519,L5,neuron,bipolar
30588382028,L5,neuron,bipolar
30605127877,L5,neuron,bipolar
30735369357,L5,neuron,bipolar
30793073087,L5,neuron,bipolar
30922643423,L5,neuron,bipolar
30982871694,L5,neuron,bipolar
30995429082,L5,neuron,bipolar
30997195192,L5,neuron,bipolar
30997632884,L5,neuron,bipolar
31171253595,L5,neuron,bipolar
31184629116,L5,neuron,bipolar
31230373387,L5,neuron,bipolar
31244711603,L5,neuron,bipolar
31244957906,L5,neuron,bipolar
31259472809,L5,neuron,bipolar
31274759074,L5,neuron,bipolar
31332404279,L5,neuron,bipolar
31390442922,L5,neuron,bipolar
31390837892,L5,neuron,bipolar
31422068791,L5,neuron,bipolar
31478312399,L5,neuron,bipolar
31639770283,L5,neuron,bipolar
31709796963,L5,neuron,bipolar
31741290976,L5,neuron,bipolar
32018549008,L5,neuron,bipolar
32224262452,L5,neuron,bipolar
32249975480,L5,neuron,bipolar
32936061086,L5,neuron,bipolar
32979937437,L5,neuron,bipolar
33124093003,L5,neuron,bipolar
33196178147,L5,neuron,bipolar
33256144637,L5,neuron,bipolar
33285068592,L5,neuron,bipolar
33301085565,L5,neuron,bipolar
33345050064,L5,neuron,bipolar
33430684914,L5,neuron,bipolar
33447140222,L5,neuron,bipolar
33488256679,L5,neuron,bipolar
33517312799,L5,neuron,bipolar
33519166811,L5,neuron,bipolar
33561174021,L5,neuron,bipolar
33562107623,L5,neuron,bipolar
33604407529,L5,neuron,bipolar
33664023230,L5,neuron,bipolar
33838461963,L5,neuron,bipolar
33852128018,L5,neuron,bipolar
33881359232,L5,neuron,bipolar
33882877977,L5,neuron,bipolar
33882950806,L5,neuron,bipolar
33939441897,L5,neuron,bipolar
34027121250,L5,neuron,bipolar
34028114756,L5,neuron,bipolar
34099367184,L5,neuron,bipolar
34187104859,L5,neuron,bipolar
38886173614,L5,neuron,bipolar
38944722952,L5,neuron,bipolar
38959191713,L5,neuron,bipolar
39016618604,L5,neuron,bipolar
39016794578,L5,neuron,bipolar
39147502414,L5,neuron,bipolar
39234714289,L5,neuron,bipolar
39249182574,L5,neuron,bipolar
39467381060,L5,neuron,bipolar
41990870225,L5,neuron,bipolar
42005910724,L5,neuron,bipolar
42325876904,L5,neuron,bipolar
42354947044,L5,neuron,bipolar
51118101511,L5,neuron,bipolar
56979908277,L5,neuron,bipolar
69474508206,L5,neuron,bipolar
87497763991,L5,neuron,bipolar
3411757268,L6,neuron,bipolar
3615003279,L6,neuron,bipolar
3760649583,L6,neuron,bipolar
3788376389,L6,neuron,bipolar
3803487761,L6,neuron,bipolar
3860972627,L6,neuron,bipolar
3904585871,L6,neuron,bipolar
3934517187,L6,neuron,bipolar
3949439113,L6,neuron,bipolar
3977560878,L6,neuron,bipolar
4006748353,L6,neuron,bipolar
4079680017,L6,neuron,bipolar
4094470869,L6,neuron,bipolar
4108269136,L6,neuron,bipolar
4137383546,L6,neuron,bipolar
4152290803,L6,neuron,bipolar
4166601250,L6,neuron,bipolar
4167593896,L6,neuron,bipolar
4181682668,L6,neuron,bipolar
4210300862,L6,neuron,bipolar
4239562349,L6,neuron,bipolar
4253680570,L6,neuron,bipolar
4269872867,L6,neuron,bipolar
4326671105,L6,neuron,bipolar
4341184060,L6,neuron,bipolar
4370590371,L6,neuron,bipolar
4428220922,L6,neuron,bipolar
4428264690,L6,neuron,bipolar
4443042188,L6,neuron,bipolar
4443131684,L6,neuron,bipolar
4443421585,L6,neuron,bipolar
4458473799,L6,neuron,bipolar
4472068090,L6,neuron,bipolar
4487589514,L6,neuron,bipolar
4501212074,L6,neuron,bipolar
4516104405,L6,neuron,bipolar
4516105355,L6,neuron,bipolar
4516979974,L6,neuron,bipolar
4517023790,L6,neuron,bipolar
4531947169,L6,neuron,bipolar
4546752678,L6,neuron,bipolar
4547160238,L6,neuron,bipolar
4559279082,L6,neuron,bipolar
4573895038,L6,neuron,bipolar
4588365131,L6,neuron,bipolar
4602834370,L6,neuron,bipolar
4618676132,L6,neuron,bipolar
4619888013,L6,neuron,bipolar
4633700399,L6,neuron,bipolar
4646609246,L6,neuron,bipolar
4661340687,L6,neuron,bipolar
4675751849,L6,neuron,bipolar
4705712494,L6,neuron,bipolar
4706443111,L6,neuron,bipolar
4706559981,L6,neuron,bipolar
4706880730,L6,neuron,bipolar
4722445292,L6,neuron,bipolar
4722972252,L6,neuron,bipolar
4735016796,L6,neuron,bipolar
4748245530,L6,neuron,bipolar
4748276275,L6,neuron,bipolar
4793654335,L6,neuron,bipolar
4793669155,L6,neuron,bipolar
4808240742,L6,neuron,bipolar
4808913797,L6,neuron,bipolar
4821031272,L6,neuron,bipolar
4822375607,L6,neuron,bipolar
4835545030,L6,neuron,bipolar
4851050851,L6,neuron,bipolar
4851125101,L6,neuron,bipolar
4896110774,L6,neuron,bipolar
4896942875,L6,neuron,bipolar
4909805280,L6,neuron,bipolar
4923779678,L6,neuron,bipolar
4938394755,L6,neuron,bipolar
4953491563,L6,neuron,bipolar
4967070664,L6,neuron,bipolar
4967450451,L6,neuron,bipolar
4970618447,L6,neuron,bipolar
4970736617,L6,neuron,bipolar
4982679531,L6,neuron,bipolar
4982709085,L6,neuron,bipolar
4995587451,L6,neuron,bipolar
4996054256,L6,neuron,bipolar
4997163340,L6,neuron,bipolar
5010583019,L6,neuron,bipolar
5026497483,L6,neuron,bipolar
5026978702,L6,neuron,bipolar
5040996135,L6,neuron,bipolar
5041025209,L6,neuron,bipolar
5043507218,L6,neuron,bipolar
5055071249,L6,neuron,bipolar
5057348498,L6,neuron,bipolar
5071131792,L6,neuron,bipolar
5071249782,L6,neuron,bipolar
5098627119,L6,neuron,bipolar
5099063456,L6,neuron,bipolar
5099472292,L6,neuron,bipolar
5113650166,L6,neuron,bipolar
5115007917,L6,neuron,bipolar
5129609835,L6,neuron,bipolar
5142283505,L6,neuron,bipolar
5157016353,L6,neuron,bipolar
5172623275,L6,neuron,bipolar
5185634251,L6,neuron,bipolar
5187589568,L6,neuron,bipolar
5200890813,L6,neuron,bipolar
5202556144,L6,neuron,bipolar
5214645213,L6,neuron,bipolar
5216105078,L6,neuron,bipolar
5216806368,L6,neuron,bipolar
5229888548,L6,neuron,bipolar
5273122529,L6,neuron,bipolar
5273488042,L6,neuron,bipolar
5287664570,L6,neuron,bipolar
5287898185,L6,neuron,bipolar
5288000794,L6,neuron,bipolar
5288570230,L6,neuron,bipolar
5303083237,L6,neuron,bipolar
5303740368,L6,neuron,bipolar
5317129594,L6,neuron,bipolar
5318268259,L6,neuron,bipolar
5319174461,L6,neuron,bipolar
5319189314,L6,neuron,bipolar
5332416660,L6,neuron,bipolar
5334169389,L6,neuron,bipolar
5347997203,L6,neuron,bipolar
5360990796,L6,neuron,bipolar
5389711818,L6,neuron,bipolar
5389798558,L6,neuron,bipolar
5390471780,L6,neuron,bipolar
5390718424,L6,neuron,bipolar
5390777283,L6,neuron,bipolar
5420300029,L6,neuron,bipolar
5421119121,L6,neuron,bipolar
5436070549,L6,neuron,bipolar
5450992548,L6,neuron,bipolar
5461474873,L6,neuron,bipolar
5462175740,L6,neuron,bipolar
5462220303,L6,neuron,bipolar
5463490638,L6,neuron,bipolar
5463549438,L6,neuron,bipolar
5464161519,L6,neuron,bipolar
5477930197,L6,neuron,bipolar
5490457849,L6,neuron,bipolar
5490619460,L6,neuron,bipolar
5492969654,L6,neuron,bipolar
5506548160,L6,neuron,bipolar
5507119268,L6,neuron,bipolar
5507542569,L6,neuron,bipolar
5522112877,L6,neuron,bipolar
