cellid,layer,cell_type,cell_subtype
969068441,L2,neuron,pyramidal
969857548,L2,neuron,pyramidal
970163600,L2,neuron,pyramidal
971581833,L2,neuron,pyramidal
982881354,L2,neuron,pyramidal
983363488,L2,neuron,pyramidal
983583123,L2,neuron,pyramidal
985320716,L2,neuron,pyramidal
998854848,L2,neuron,pyramidal
999803795,L2,neuron,pyramidal
1012141341,L2,neuron,pyramidal
1013369125,L2,neuron,pyramidal
1013805852,L2,neuron,pyramidal
1014493630,L2,neuron,pyramidal
1027868129,L2,neuron,pyramidal
1028627657,L2,neuron,pyramidal
1042088756,L2,neuron,pyramidal
1043257366,L2,neuron,pyramidal
1044162101,L2,neuron,pyramidal
1070355700,L2,neuron,pyramidal
1072575548,L2,neuron,pyramidal
1072605926,L2,neuron,pyramidal
1072751582,L2,neuron,pyramidal
1086242342,L2,neuron,pyramidal
1086329521,L2,neuron,pyramidal
1086811256,L2,neuron,pyramidal
1087542412,L2,neuron,pyramidal
1099456691,L2,neuron,pyramidal
1100025830,L2,neuron,pyramidal
1101558966,L2,neuron,pyramidal
1101647060,L2,neuron,pyramidal
1102726098,L2,neuron,pyramidal
1114406890,L2,neuron,pyramidal
1114654945,L2,neuron,pyramidal
1114772716,L2,neuron,pyramidal
1128294124,L2,neuron,pyramidal
1128788725,L2,neuron,pyramidal
1128920987,L2,neuron,pyramidal
1129578680,L2,neuron,pyramidal
1130964606,L2,neuron,pyramidal
1144645406,L2,neuron,pyramidal
1158415240,L2,neuron,pyramidal
1159349630,L2,neuron,pyramidal
1160459322,L2,neuron,pyramidal
1172679820,L2,neuron,pyramidal
1173891397,L2,neuron,pyramidal
1186799015,L2,neuron,pyramidal
1187353621,L2,neuron,pyramidal
1188508464,L2,neuron,pyramidal
1201619536,L2,neuron,pyramidal
1202333991,L2,neuron,pyramidal
1202451144,L2,neuron,pyramidal
1203357896,L2,neuron,pyramidal
1204349748,L2,neuron,pyramidal
1204685825,L2,neuron,pyramidal
1216147235,L2,neuron,pyramidal
1216292563,L2,neuron,pyramidal
1216628765,L2,neuron,pyramidal
1217330753,L2,neuron,pyramidal
1217811538,L2,neuron,pyramidal
1217826057,L2,neuron,pyramidal
1218293403,L2,neuron,pyramidal
1218702658,L2,neuron,pyramidal
1230280434,L2,neuron,pyramidal
1231798802,L2,neuron,pyramidal
1231931109,L2,neuron,pyramidal
1246809131,L2,neuron,pyramidal
1259220405,L2,neuron,pyramidal
1259862767,L2,neuron,pyramidal
1260416782,L2,neuron,pyramidal
1261615778,L2,neuron,pyramidal
1262067533,L2,neuron,pyramidal
1262447718,L2,neuron,pyramidal
1275822011,L2,neuron,pyramidal
1276069660,L2,neuron,pyramidal
1288451104,L2,neuron,pyramidal
1288713754,L2,neuron,pyramidal
1289750149,L2,neuron,pyramidal
1302832940,L2,neuron,pyramidal
1303709577,L2,neuron,pyramidal
1304175957,L2,neuron,pyramidal
1304599411,L2,neuron,pyramidal
1305214062,L2,neuron,pyramidal
1316864327,L2,neuron,pyramidal
1318149265,L2,neuron,pyramidal
1318353515,L2,neuron,pyramidal
1318705082,L2,neuron,pyramidal
1318747740,L2,neuron,pyramidal
1318778426,L2,neuron,pyramidal
1319479187,L2,neuron,pyramidal
1332590601,L2,neuron,pyramidal
1332939895,L2,neuron,pyramidal
1333363350,L2,neuron,pyramidal
1334487646,L2,neuron,pyramidal
1334708119,L2,neuron,pyramidal
1348402372,L2,neuron,pyramidal
1348928027,L2,neuron,pyramidal
1349117862,L2,neuron,pyramidal
1350125768,L2,neuron,pyramidal
1362419335,L2,neuron,pyramidal
1364610775,L2,neuron,pyramidal
1377575167,L2,neuron,pyramidal
1378189290,L2,neuron,pyramidal
1390191059,L2,neuron,pyramidal
1390191615,L2,neuron,pyramidal
1391140193,L2,neuron,pyramidal
1392746193,L2,neuron,pyramidal
1392921068,L2,neuron,pyramidal
1404776974,L2,neuron,pyramidal
1406019433,L2,neuron,pyramidal
1406179635,L2,neuron,pyramidal
1406747970,L2,neuron,pyramidal
1419377834,L2,neuron,pyramidal
1419961877,L2,neuron,pyramidal
1420166275,L2,neuron,pyramidal
1421320252,L2,neuron,pyramidal
1421670924,L2,neuron,pyramidal
1434621263,L2,neuron,pyramidal
1434621267,L2,neuron,pyramidal
1436579124,L2,neuron,pyramidal
1450229729,L2,neuron,pyramidal
1450566287,L2,neuron,pyramidal
1450873107,L2,neuron,pyramidal
1450873560,L2,neuron,pyramidal
1463035775,L2,neuron,pyramidal
1463649009,L2,neuron,pyramidal
1464028480,L2,neuron,pyramidal
1464336057,L2,neuron,pyramidal
1464890491,L2,neuron,pyramidal
1465050644,L2,neuron,pyramidal
1465327748,L2,neuron,pyramidal
1465546220,L2,neuron,pyramidal
1465941838,L2,neuron,pyramidal
1477198194,L2,neuron,pyramidal
1477725094,L2,neuron,pyramidal
1478877217,L2,neuron,pyramidal
1491990044,L2,neuron,pyramidal
1493229770,L2,neuron,pyramidal
1494003581,L2,neuron,pyramidal
1494238561,L2,neuron,pyramidal
1494486333,L2,neuron,pyramidal
1494676154,L2,neuron,pyramidal
1506954854,L2,neuron,pyramidal
1508459036,L2,neuron,pyramidal
1509831068,L2,neuron,pyramidal
1522022884,L2,neuron,pyramidal
1522447195,L2,neuron,pyramidal
1522767497,L2,neuron,pyramidal
1523001613,L2,neuron,pyramidal
1523177198,L2,neuron,pyramidal
1523221298,L2,neuron,pyramidal
1523804790,L2,neuron,pyramidal
1524667312,L2,neuron,pyramidal
1524871422,L2,neuron,pyramidal
1525017382,L2,neuron,pyramidal
1536653056,L2,neuron,pyramidal
1536930472,L2,neuron,pyramidal
1537018511,L2,neuron,pyramidal
1537091284,L2,neuron,pyramidal
1537354925,L2,neuron,pyramidal
1538361362,L2,neuron,pyramidal
1538903013,L2,neuron,pyramidal
1539020057,L2,neuron,pyramidal
1539047638,L2,neuron,pyramidal
1539180821,L2,neuron,pyramidal
1551662889,L2,neuron,pyramidal
1551940674,L2,neuron,pyramidal
1552861494,L2,neuron,pyramidal
1564847875,L2,neuron,pyramidal
1566396939,L2,neuron,pyramidal
1566599710,L2,neuron,pyramidal
1568352768,L2,neuron,pyramidal
1568571878,L2,neuron,pyramidal
1580500545,L2,neuron,pyramidal
1581712010,L2,neuron,pyramidal
1581843873,L2,neuron,pyramidal
1582018839,L2,neuron,pyramidal
1595014673,L2,neuron,pyramidal
1595845499,L2,neuron,pyramidal
1596094952,L2,neuron,pyramidal
1596327698,L2,neuron,pyramidal
1596430803,L2,neuron,pyramidal
1596765375,L2,neuron,pyramidal
1610607772,L2,neuron,pyramidal
1611001917,L2,neuron,pyramidal
1624742310,L2,neuron,pyramidal
1638276542,L2,neuron,pyramidal
1639020940,L2,neuron,pyramidal
1639825037,L2,neuron,pyramidal
1640831207,L2,neuron,pyramidal
1652745830,L2,neuron,pyramidal
1654601031,L2,neuron,pyramidal
1654659895,L2,neuron,pyramidal
1655156226,L2,neuron,pyramidal
1655359890,L2,neuron,pyramidal
1655563637,L2,neuron,pyramidal
1667829795,L2,neuron,pyramidal
1669011958,L2,neuron,pyramidal
1669376179,L2,neuron,pyramidal
1682400235,L2,neuron,pyramidal
1683217893,L2,neuron,pyramidal
1683218288,L2,neuron,pyramidal
1683890796,L2,neuron,pyramidal
1684065002,L2,neuron,pyramidal
1684504313,L2,neuron,pyramidal
1684665009,L2,neuron,pyramidal
1684810825,L2,neuron,pyramidal
1697526967,L2,neuron,pyramidal
1697906518,L2,neuron,pyramidal
1697921145,L2,neuron,pyramidal
1698301804,L2,neuron,pyramidal
1698330095,L2,neuron,pyramidal
1698593325,L2,neuron,pyramidal
1698740240,L2,neuron,pyramidal
1699089511,L2,neuron,pyramidal
1699207720,L2,neuron,pyramidal
1712347319,L2,neuron,pyramidal
1714217485,L2,neuron,pyramidal
1726992888,L2,neuron,pyramidal
1727810394,L2,neuron,pyramidal
1728101368,L2,neuron,pyramidal
1728497220,L2,neuron,pyramidal
1728730585,L2,neuron,pyramidal
1740455384,L2,neuron,pyramidal
1741272725,L2,neuron,pyramidal
1741433573,L2,neuron,pyramidal
1741724100,L2,neuron,pyramidal
1741928933,L2,neuron,pyramidal
1742147675,L2,neuron,pyramidal
1742235712,L2,neuron,pyramidal
1743200575,L2,neuron,pyramidal
1756135282,L2,neuron,pyramidal
1756631972,L2,neuron,pyramidal
1756792331,L2,neuron,pyramidal
1770926112,L2,neuron,pyramidal
1771276990,L2,neuron,pyramidal
1771408273,L2,neuron,pyramidal
1771438295,L2,neuron,pyramidal
1771466462,L2,neuron,pyramidal
1772123922,L2,neuron,pyramidal
1784753281,L2,neuron,pyramidal
1785352099,L2,neuron,pyramidal
1785600657,L2,neuron,pyramidal
1786081945,L2,neuron,pyramidal
1786754120,L2,neuron,pyramidal
1799120646,L2,neuron,pyramidal
1814409081,L2,neuron,pyramidal
1815035994,L2,neuron,pyramidal
1815152950,L2,neuron,pyramidal
1815502989,L2,neuron,pyramidal
1815548089,L2,neuron,pyramidal
1827433177,L2,neuron,pyramidal
1827943359,L2,neuron,pyramidal
1829403525,L2,neuron,pyramidal
1829433787,L2,neuron,pyramidal
1829899703,L2,neuron,pyramidal
1841713157,L2,neuron,pyramidal
1842792365,L2,neuron,pyramidal
1843770501,L2,neuron,pyramidal
1844077129,L2,neuron,pyramidal
1844150190,L2,neuron,pyramidal
1844223122,L2,neuron,pyramidal
1844456976,L2,neuron,pyramidal
1844721372,L2,neuron,pyramidal
1845509062,L2,neuron,pyramidal
1857715073,L2,neuron,pyramidal
1858095469,L2,neuron,pyramidal
1858503339,L2,neuron,pyramidal
1858780940,L2,neuron,pyramidal
1859174542,L2,neuron,pyramidal
1873045484,L2,neuron,pyramidal
1873396402,L2,neuron,pyramidal
1874244336,L2,neuron,pyramidal
1874375525,L2,neuron,pyramidal
1886902875,L2,neuron,pyramidal
1903373379,L2,neuron,pyramidal
1916512679,L2,neuron,pyramidal
1916877844,L2,neuron,pyramidal
1916965303,L2,neuron,pyramidal
1917403439,L2,neuron,pyramidal
1917492672,L2,neuron,pyramidal
1918120342,L2,neuron,pyramidal
1930502394,L2,neuron,pyramidal
1930515021,L2,neuron,pyramidal
1931040666,L2,neuron,pyramidal
1931553044,L2,neuron,pyramidal
1932195721,L2,neuron,pyramidal
1932516851,L2,neuron,pyramidal
1946037644,L2,neuron,pyramidal
1946270467,L2,neuron,pyramidal
1946459333,L2,neuron,pyramidal
1946811312,L2,neuron,pyramidal
1959074590,L2,neuron,pyramidal
1960447432,L2,neuron,pyramidal
1960945141,L2,neuron,pyramidal
1960973012,L2,neuron,pyramidal
1974274258,L2,neuron,pyramidal
1974363041,L2,neuron,pyramidal
1975281707,L2,neuron,pyramidal
1975617679,L2,neuron,pyramidal
1975633226,L2,neuron,pyramidal
1976247199,L2,neuron,pyramidal
1988364535,L2,neuron,pyramidal
1989050440,L2,neuron,pyramidal
1989124162,L2,neuron,pyramidal
1989532299,L2,neuron,pyramidal
1989591304,L2,neuron,pyramidal
1989722142,L2,neuron,pyramidal
2003492425,L2,neuron,pyramidal
2004016493,L2,neuron,pyramidal
2018165185,L2,neuron,pyramidal
