cellid,layer,cell_type,cell_subtype
5317129594,L6,neuron,spiny-stellate
5480120932,L6,neuron,spiny-stellate
5492969654,L6,neuron,spiny-stellate
5565128350,L6,neuron,spiny-stellate
5623693160,L6,neuron,spiny-stellate
5855979281,L6,neuron,spiny-stellate
5900396223,L6,neuron,spiny-stellate
6177990420,L6,neuron,spiny-stellate
6220712283,L6,neuron,spiny-stellate
6322687028,L6,neuron,spiny-stellate
6613785802,L6,neuron,spiny-stellate
6614928166,L6,neuron,spiny-stellate
6643164727,L6,neuron,spiny-stellate
6658406895,L6,neuron,spiny-stellate
6745384646,L6,neuron,spiny-stellate
14794814799,L6,neuron,spiny-stellate
15539757452,L6,neuron,spiny-stellate
31068084020,L6,neuron,spiny-stellate
31082523968,L6,neuron,spiny-stellate
31140649483,L6,neuron,spiny-stellate
31576899712,L6,neuron,spiny-stellate
31591499830,L6,neuron,spiny-stellate
33049905842,L6,neuron,spiny-stellate
33269227364,L6,neuron,spiny-stellate
39540618731,L6,neuron,spiny-stellate
5942899024,WM,neuron,spiny-stellate
6263276083,WM,neuron,spiny-stellate
6278138984,WM,neuron,spiny-stellate
33544164420,WM,neuron,spiny-stellate
42002712851,WM,neuron,spiny-stellate
29919408414,unclassified,neuron,spiny-stellate
