cellid,layer,cell_type,cell_subtype
2238670924,L1,glial,astrocyte
2254059346,L1,glial,astrocyte
2282546661,L1,glial,astrocyte
2283129614,L1,glial,astrocyte
2283875121,L1,glial,astrocyte
2297102797,L1,glial,astrocyte
2297162768,L1,glial,astrocyte
2297629027,L1,glial,astrocyte
2297672327,L1,glial,astrocyte
2311208509,L1,glial,astrocyte
2326173589,L1,glial,astrocyte
2326728064,L1,glial,astrocyte
2326787595,L1,glial,astrocyte
2340790097,L1,glial,astrocyte
2355988393,L1,glial,astrocyte
2371012848,L1,glial,astrocyte
2385613664,L1,glial,astrocyte
2400112598,L1,glial,astrocyte
2413634599,L1,glial,astrocyte
2429066483,L1,glial,astrocyte
2443185999,L1,glial,astrocyte
2443595582,L1,glial,astrocyte
2457042912,L1,glial,astrocyte
2457349866,L1,glial,astrocyte
2458195816,L1,glial,astrocyte
2458721018,L1,glial,astrocyte
2472359620,L1,glial,astrocyte
2472709793,L1,glial,astrocyte
2486581008,L1,glial,astrocyte
2500742516,L1,glial,astrocyte
2502290724,L1,glial,astrocyte
2515344447,L1,glial,astrocyte
2515564236,L1,glial,astrocyte
2515636354,L1,glial,astrocyte
2516657587,L1,glial,astrocyte
2559497934,L1,glial,astrocyte
2559527790,L1,glial,astrocyte
2559658296,L1,glial,astrocyte
2559980126,L1,glial,astrocyte
2560461370,L1,glial,astrocyte
2573647129,L1,glial,astrocyte
2574128636,L1,glial,astrocyte
2575019057,L1,glial,astrocyte
2575296566,L1,glial,astrocyte
2588816966,L1,glial,astrocyte
2589443800,L1,glial,astrocyte
2589516579,L1,glial,astrocyte
2602454818,L1,glial,astrocyte
2603067082,L1,glial,astrocyte
2617902842,L1,glial,astrocyte
2618456040,L1,glial,astrocyte
2618572703,L1,glial,astrocyte
2618631166,L1,glial,astrocyte
2619246536,L1,glial,astrocyte
2647687979,L1,glial,astrocyte
2661938609,L1,glial,astrocyte
2675138417,L1,glial,astrocyte
2691534589,L1,glial,astrocyte
2692162098,L1,glial,astrocyte
2706735052,L1,glial,astrocyte
2719933845,L1,glial,astrocyte
2720078839,L1,glial,astrocyte
2748814528,L1,glial,astrocyte
2763707985,L1,glial,astrocyte
2779052672,L1,glial,astrocyte
2792807211,L1,glial,astrocyte
2793419550,L1,glial,astrocyte
2808167385,L1,glial,astrocyte
2820710351,L1,glial,astrocyte
2821031778,L1,glial,astrocyte
2821805100,L1,glial,astrocyte
2837442842,L1,glial,astrocyte
2837502116,L1,glial,astrocyte
2850145640,L1,glial,astrocyte
2850876056,L1,glial,astrocyte
2851955648,L1,glial,astrocyte
2865432258,L1,glial,astrocyte
2865462243,L1,glial,astrocyte
2865579295,L1,glial,astrocyte
